fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-r-008100-3-0045,1,Success,TRUE,SAT_28814,4.06554447,318.5937248,-5.229976262,318.7556343,-5.260098366,,2009/10/16 1:45:24,SAT_28814,4.23824313,4.06554447,SAT_28466,4.180707828,8.388060512,SAT_25126,1.131193508,8.466312223
frame-r-008100-4-0069,1,Success,TRUE,SAT_26681,3.066401145,322.2164403,-5.242614402,322.3777311,-5.270878364,,2009/10/16 1:59:44,SAT_26681,4.016771869,3.066401145,SAT_28447,5.562590649,7.065641783,SAT_34113,1.83632828,7.26613171
frame-r-008100-4-0070,1,Success,TRUE,SAT_26681,2.942245085,322.3664318,-5.243252192,322.528619,-5.271312542,,2009/10/16 2:00:20,SAT_26681,4.016771869,2.942245085,SAT_28447,5.562590649,7.189797843,SAT_34113,1.83632828,7.390287771
frame-r-008100-4-0071,1,Success,TRUE,SAT_26681,3.001478499,322.517508,-5.243602971,322.6795422,-5.271808706,,2009/10/16 2:00:56,SAT_26681,4.016771869,3.001478499,SAT_28447,5.562590649,7.130564429,SAT_34113,1.83632828,7.331054356
frame-r-008100-4-0072,1,Success,TRUE,SAT_26681,2.983110363,322.6682287,-5.244102106,322.8303932,-5.27227716,,2009/10/16 2:01:32,SAT_26681,4.016771869,2.983110363,SAT_28447,5.562590649,7.148932565,SAT_34113,1.83632828,7.349422493
frame-r-008100-4-0073,1,Success,TRUE,SAT_26681,2.253447058,322.8190883,-5.244514138,322.9813133,-5.272441491,,2009/10/16 2:02:07,SAT_26681,2.614484266,2.253447058,SAT_28447,5.045845308,7.395049593,SAT_25126,1.115568066,7.780698216
frame-r-008100-4-0074,1,Success,TRUE,SAT_26681,2.233843119,322.9703328,-5.245080128,323.1322156,-5.272891743,,2009/10/16 2:02:43,SAT_26681,2.614484266,2.233843119,SAT_28447,5.045845308,7.414653531,SAT_25126,1.115568066,7.761094278
frame-r-008100-4-0077,1,Success,TRUE,SAT_26681,2.139683262,323.4227815,-5.246752121,323.5848075,-5.2743153,,2009/10/16 2:04:31,SAT_26681,2.614484266,2.139683262,SAT_28447,5.045845308,7.508813388,SAT_25126,1.115568066,7.666934421
frame-r-008100-4-0079,1,Success,TRUE,SAT_26681,2.189913013,323.7249405,-5.247756896,323.8864823,-5.275382822,,2009/10/16 2:05:42,SAT_26681,2.614484266,2.189913013,SAT_28447,5.045845308,7.458583637,SAT_25126,1.115568066,7.717164172
frame-r-008100-4-0080,1,Success,TRUE,SAT_26681,1.449848978,323.8750553,-5.248402992,324.0373278,-5.275886404,,2009/10/16 2:06:18,SAT_26681,2.259150389,1.449848978,SAT_25126,1.063663787,7.645261183,SAT_28447,4.942847941,7.703778529
frame-r-008100-5-0113,1,Success,TRUE,SAT_27793,4.919780475,328.8512082,-5.265700493,329.0134667,-5.290332782,,2009/10/16 2:26:00,SAT_27793,2.745350671,4.919780475,SAT_25126,1.411023431,6.755265214,SAT_27775,4.808558483,7.374831465
frame-r-008100-5-0114,1,Success,TRUE,SAT_27793,4.768022225,329.0017363,-5.266369514,329.164135,-5.290584983,,2009/10/16 2:26:36,SAT_27793,2.745350671,4.768022225,SAT_25126,1.411023431,6.603506964,SAT_27775,4.808558483,7.223073215
frame-r-008100-5-0102,1,Success,TRUE,SAT_26681,0.751971987,327.1932156,-5.259970668,327.3551977,-5.285430486,,2009/10/16 2:19:26,SAT_26681,5.911811509,0.751971987,SAT_25126,1.705770714,7.014405126,SAT_28466,4.965918914,7.538051959
frame-r-008103-5-0066,1,Success,TRUE,SAT_02009,4.993715623,354.9137166,27.55398133,354.8913785,27.58351717,,2009/10/16 8:36:26,SAT_02009,3.576912397,4.993715623,SAT_02377,2.192379035,61.22898636,SAT_19576,0.166441653,66.35428497
frame-r-008105-3-0038,1,No match,FALSE,,inf,14.23892979,29.46617552,14.23143233,29.63515486,FOVNotMatch,2009/10/16 10:16:16,SAT_10768,4.091902393,6.859788769,SAT_21196,5.938343094,26.83064143,SAT_22337,4.006151875,76.07066147
frame-r-008108-5-0229,1,No match,FALSE,,inf,358.0499632,22.89399236,357.9516975,22.98711212,FOVNotMatch,2009/10/17 3:53:13,SAT_04615,3.013706249,63.9696115,SAT_32480,5.892236721,88.39138366,SAT_24276,16.29316502,
frame-r-008110-1-0108,1,Success,TRUE,SAT_25274,3.688832359,340.0430516,24.19181729,339.9228894,24.39884605,,2009/10/17 7:05:32,SAT_25274,2.307382642,3.688832359,SAT_31851,1.977004335,8.053983568,SAT_29323,2.054685522,10.64225421
frame-r-008100-1-0350,1,No match,FALSE,,inf,4.505591442,-8.543303832,4.497970285,-8.415383849,FOVNotMatch,2009/10/16 4:47:31,SAT_33415,4.015316025,57.68338988,SAT_25881,2.558297208,74.57086338,SAT_14821,1.38371565,75.54879641
frame-r-008100-4-0343,1,No match,FALSE,,inf,3.442870073,-7.273603953,3.472401319,-7.282954421,FOVNotMatch,2009/10/16 4:43:20,SAT_25881,1.602871568,5.957169811,SAT_27463,1.744521907,7.131996487,SAT_33415,3.083049271,11.11763841
frame-r-008100-4-0344,1,No match,FALSE,,inf,3.59365119,-7.225243427,3.758144544,-7.278734737,FOVNotMatch,2009/10/16 4:43:56,SAT_25881,1.602871568,6.403693514,SAT_27463,1.744521907,7.578520189,SAT_33415,3.083049271,10.6711147
frame-r-008100-4-0345,1,No match,FALSE,,inf,3.908615916,-7.230566717,3.744641884,-7.177233024,FOVNotMatch,2009/10/16 4:44:32,SAT_25881,1.602871568,6.405469869,SAT_27463,1.744521907,7.580296544,SAT_33415,3.083049271,10.66933835
frame-r-008100-3-0362,1,Success,TRUE,SAT_21499,0.339329827,6.31118337,-7.512143979,6.45508424,-7.478171979,,2009/10/16 4:54:41,SAT_21499,1.605289353,0.339329827,SAT_12472,3.347144731,1.867832765,SAT_27625,1.742125765,2.473157606
frame-r-008100-3-0363,1,Success,TRUE,SAT_21499,0.281052663,6.461802254,-7.546921398,6.626586743,-7.507846469,,2009/10/16 4:55:17,SAT_21499,1.605289353,0.281052663,SAT_12472,3.347144731,1.8095556,SAT_27625,1.742125765,2.531434771
