fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-g-003360-2-0316,1,Success,TRUE,SAT_26807,4.900821546,353.1787215,-0.736137297,353.3400335,-0.76659457,,2002/10/5 7:03:40.00,SAT_26807,4.229059976,4.900821546,SAT_26738,3.819233296,9.751651322,SAT_23877,5.376036166,10.6322462
frame-g-003360-2-0317,1,Success,TRUE,SAT_26807,4.683281318,353.3280647,-0.708798724,353.4899663,-0.738731388,,2002/10/5 7:04:16.00,SAT_26807,4.229059976,4.683281318,SAT_26738,3.819233296,9.534111094,SAT_23877,5.376036166,10.41470598
frame-g-003360-2-0318,1,Success,TRUE,SAT_26807,4.659857781,353.4780108,-0.680817274,353.6403892,-0.710769618,,2002/10/5 7:04:52.00,SAT_26807,4.229059976,4.659857781,SAT_26738,3.819233296,9.510687557,SAT_23877,5.376036166,10.39128244
frame-g-003360-2-0318,2,No match,FALSE,N/A,inf,353.6280694,-0.761589172,353.6405325,-0.76488909,FOVNotMatch,2002/10/5 7:04:52.00,SAT_26807,4.229059976,9.039292566,SAT_26738,3.819233296,13.89012234,SAT_23877,5.376036166,14.77071722
frame-g-003360-2-0319,1,Success,TRUE,SAT_26807,4.647330803,353.6278339,-0.652865316,353.7902233,-0.68278316,,2002/10/5 7:05:27.00,SAT_26807,4.229059976,4.647330803,SAT_26738,3.819233296,9.498160579,SAT_23877,5.376036166,10.37875546
frame-g-003360-3-0328,1,Success,TRUE,SAT_26807,4.102933829,354.9748665,-0.40276757,355.0451124,-0.415828457,,2002/10/5 7:10:50.00,SAT_26807,3.528007889,4.102933829,SAT_10246,0.33925951,8.648896599,SAT_26738,4.27543856,9.567257818
frame-g-003360-3-0329,1,Success,TRUE,SAT_26807,4.042515558,355.1243144,-0.375150478,355.286929,-0.405208264,,2002/10/5 7:11:26.00,SAT_26807,3.528007889,4.042515558,SAT_10246,0.33925951,8.588478328,SAT_26738,4.27543856,9.506839547
frame-g-003360-3-0334,1,Success,TRUE,SAT_26807,4.040957767,355.8727827,-0.237843654,356.0349218,-0.267809386,,2002/10/5 7:14:25.00,SAT_26807,3.528007889,4.040957767,SAT_10246,0.33925951,8.586920537,SAT_26738,4.27543856,9.505281756
frame-g-003360-4-0336,1,No match,FALSE,N/A,inf,356.1993219,0.171304919,356.3347352,0.079936235,FOVNotMatch,2002/10/5 7:15:36.00,SAT_10893,5.443135391,32.2947319,SAT_25240,5.734657665,32.81893496,SAT_26738,5.141970159,33.03244592
frame-g-003360-4-0346,1,Success,TRUE,SAT_26807,2.982882948,357.668759,0.087097784,357.8316213,0.057868363,,2002/10/5 7:21:35.00,SAT_26807,2.555398449,2.982882948,SAT_04649,2.094740592,4.987280051,SAT_4649U,1.676035821,6.003883856
frame-g-003360-4-0348,1,Success,TRUE,SAT_26807,2.964951918,357.9689996,0.141079324,358.1312367,0.112014563,,2002/10/5 7:22:46.00,SAT_26807,2.555398449,2.964951918,SAT_04649,2.094740592,5.005211081,SAT_4649U,1.676035821,6.021814887
frame-g-003360-1-0353,1,Success,TRUE,SAT_26738,2.782886482,358.7790335,-1.203055304,358.8798351,-1.209724827,,2002/10/5 7:25:45.00,SAT_26738,3.500236126,2.782886482,SAT_27299,5.680713197,3.388914399,SAT_23877,5.0322417,3.725413638
